,Date,Time,Step Count,Distance,Energy Burned,Flights Climbed,Walking Double Support Percentage,Walking Speed
0,21/03/2023,16:01:23,46,0.02543,14.62,3.0,0.304,3.06
1,21/03/2023,16:18:37,645,0.40041,14.722,3.0,0.309,3.852
2,21/03/2023,16:31:38,14,0.00996,14.603,4.0,0.278,3.996
3,21/03/2023,16:45:37,13,0.00901,14.811,3.0,0.278,5.04
4,21/03/2023,17:10:30,17,0.00904,15.153,3.0,0.281,5.184
5,21/03/2023,18:14:45,8,0.0056,14.958,3.0,0.301,5.04
6,21/03/2023,19:02:31,564,0.36089,13.709,3.0,0.289,4.464
7,21/03/2023,19:10:51,153,0.09493,14.86,3.0,0.307,4.788
8,21/03/2023,19:20:57,16,0.01074,16.804,3.0,0.314,4.068
9,21/03/2023,21:04:23,22,0.01526,14.564,3.0,0.293,3.816
10,21/03/2023,21:25:23,16,0.0072,13.13,1.0,0.283,4.572
11,22/03/2023,00:32:15,37,0.01855,13.693,3.0,0.272,4.896
12,22/03/2023,01:20:54,14,0.01026,14.177,1.0,0.276,1.728
13,22/03/2023,08:22:57,22,0.01276,14.395,3.0,0.271,5.148
14,22/03/2023,10:34:49,206,0.14214,10.861,1.0,0.291,4.968
15,22/03/2023,10:52:38,44,0.03036,14.851,3.0,0.291,5.184
16,22/03/2023,13:04:47,122,0.08541,14.124,1.0,0.273,4.572
17,22/03/2023,13:42:14,839,0.60459,14.17,3.0,0.319,3.456
18,22/03/2023,13:42:14,118,0.08607,12.49,1.0,0.298,2.304
19,22/03/2023,13:55:27,590,0.37101,15.871,3.0,0.315,2.376
20,22/03/2023,14:14:39,425,0.27507,15.384,3.0,0.322,2.016
21,22/03/2023,14:52:20,260,0.17774,20.497,3.0,0.321,4.968
22,22/03/2023,14:57:40,838,0.53206,14.519,1.0,0.326,4.392
23,22/03/2023,15:15:35,959,0.59911,14.422,3.0,0.326,4.644
24,22/03/2023,15:23:52,89,0.06556,14.652,3.0,0.324,1.692
25,22/03/2023,15:40:24,472,0.29817,14.793,3.0,0.331,3.528
26,22/03/2023,15:45:00,117,0.07109,16.204,1.0,0.314,4.104
27,22/03/2023,16:13:03,30,0.01634,12.064,3.0,0.353,3.708
28,22/03/2023,16:59:35,492,0.31219,31.105,2.0,0.326,4.068
29,22/03/2023,17:06:48,431,0.26924,17.051,1.0,0.321,4.14
30,22/03/2023,17:17:33,502,0.31676,13.758,4.0,0.297,3.708
31,22/03/2023,17:27:35,708,0.44806,15.203,3.0,0.299,3.168
32,22/03/2023,18:02:17,587,0.36479,15.006,1.0,0.321,2.268
33,22/03/2023,18:11:29,496,0.3112,14.777,3.0,0.308,3.348
34,22/03/2023,18:19:35,395,0.26146,20.057,3.0,0.296,3.492
35,22/03/2023,18:29:34,401,0.25999,11.351,3.0,0.299,3.348
36,22/03/2023,19:00:43,384,0.25378,10.345,3.0,0.308,2.88
37,22/03/2023,19:07:33,161,0.47598,15.203,3.0,0.302,2.7
38,22/03/2023,19:15:01,736,0.15439,14.934,3.0,0.311,2.844
39,22/03/2023,19:25:32,142,0.07679,14.918,3.0,0.337,3.276
40,22/03/2023,23:29:50,10,0.0069,13.872,3.0,0.344,2.16
41,23/03/2023,09:15:52,17,0.00879,14.395,3.0,0.321,3.348
42,23/03/2023,16:51:23,675,0.47259,14.928,3.0,0.321,3.528
43,23/03/2023,17:01:33,58,0.03906,13.585,2.0,0.31,4.212
44,23/03/2023,17:23:21,27,0.01873,13.76,3.0,0.326,4.212
45,23/03/2023,19:00:57,8,0.00584,14.052,1.0,0.318,3.6
46,23/03/2023,20:11:46,6,0.0042,15.445,1.0,0.285,3.744
47,23/03/2023,20:52:19,56,0.03888,14.389,3.0,0.271,3.42
48,23/03/2023,22:53:29,26,0.01828,13.87,3.0,0.34,4.032
49,24/03/2023,14:20:45,81,0.05595,13.804,3.0,0.334,4.428
50,24/03/2023,16:26:41,6,0.00414,14.914,3.0,0.317,4.356
51,24/03/2023,16:51:38,50,0.03425,13.831,3.0,0.309,4.104
52,24/03/2023,19:02:12,1,0.00046,14.796,3.0,0.309,4.14
53,24/03/2023,20:11:48,236,0.14723,13.722,1.0,0.285,3.816
54,24/03/2023,22:12:26,14,0.01037,20.545,3.0,0.307,2.772
55,25/03/2023,13:11:57,78,0.04892,15.109,3.0,0.33,2.628
56,25/03/2023,15:14:00,96,0.06624,16.841,3.0,0.334,3.456
57,25/03/2023,15:38:12,132,0.09116,14.808,3.0,0.284,3.42
58,25/03/2023,17:08:09,33,0.02279,14.922,3.0,0.33,3.816
59,25/03/2023,18:46:46,504,0.35053,14.564,3.0,0.288,3.24
60,25/03/2023,18:58:27,60,0.04182,14.191,3.0,0.278,3.384
61,25/03/2023,19:10:59,54,0.03719,16.621,1.0,0.276,2.124
62,25/03/2023,19:27:00,77,0.05559,14.218,1.0,0.279,5.004
63,25/03/2023,23:24:27,19,0.01248,14.268,3.0,0.281,4.608
64,26/03/2023,07:07:48,24,0.0167,15.38,3.0,0.273,5.148
65,26/03/2023,15:53:25,91,0.0629,13.198,2.0,0.275,2.628
66,26/03/2023,16:08:01,16,0.01104,14.754,2.0,0.278,2.592
67,26/03/2023,17:24:18,501,0.35164,14.374,1.0,0.283,2.34
68,26/03/2023,19:12:48,189,0.13039,13.904,2.0,0.347,2.052
69,26/03/2023,19:28:30,31,0.0214,23.127,2.0,0.288,2.448
